date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day
2020-09-27T00:00:00.000,846179,0.33,576684,0.52,28481,0.27,9491,0.55,731091,0.83,5,0,39994,0.4
2020-09-28T00:00:00.000,1489240,0.26,985185,0.42,43237,0.15,17678,0.6,753159,0.79,3371,0.2,89664,0.27
2020-09-29T00:00:00.000,1661264,0.29,1057135,0.46,40515,0.14,20517,0.69,790861,0.83,3632,0.21,88444,0.27
2020-09-30T00:00:00.000,1740820,0.3,1101663,0.47,41967,0.15,21424,0.72,822682,0.86,3704,0.22,89223,0.27
2020-10-01T00:00:00.000,1809958,0.31,1159859,0.51,42390,0.15,22309,0.75,870606,0.94,4003,0.22,86082,0.27
2020-10-02T00:00:00.000,1790612,0.31,1115793,0.49,48883,0.17,21626,0.73,891268,0.96,3589,0.2,87291,0.28
2020-10-03T00:00:00.000,1168040,0.35,777674,0.56,36907,0.24,12759,0.72,810626,0.86,33,0.01,45018,0.4
2020-10-04T00:00:00.000,852830,0.35,570608,0.57,27667,0.26,10010,0.54,706562,0.84,761,0.2,34976,0.38
2020-10-05T00:00:00.000,1678792,0.29,1102675,0.49,42258,0.15,19971,0.67,783540,0.84,3587,0.2,88694,0.28
2020-10-06T00:00:00.000,1758454,0.31,1137217,0.5,43803,0.15,21475,0.72,802900,0.87,3866,0.22,87748,0.28
2020-10-07T00:00:00.000,1770617,0.31,1123231,0.5,43535,0.15,23027,0.77,814866,0.88,3791,0.21,87119,0.28
2020-10-08T00:00:00.000,1798005,0.31,1126770,0.5,44802,0.15,21964,0.74,845788,0.91,3913,0.22,87959,0.28
2020-10-09T00:00:00.000,1808079,0.31,1117172,0.5,52686,0.18,21274,0.71,896404,0.97,3700,0.21,78663,0.25
2020-10-10T00:00:00.000,1170227,0.35,771088,0.55,41410,0.27,12627,0.71,823775,0.87,1430,0.31,44528,0.39
2020-10-11T00:00:00.000,848469,0.35,564051,0.56,28784,0.27,9470,0.52,692669,0.82,1049,0.28,34593,0.38
2020-10-12T00:00:00.000,1284655,0.22,767564,0.34,39838,0.14,15722,0.53,685982,0.74,2237,0.13,76776,0.24
2020-10-13T00:00:00.000,1715183,0.3,1063680,0.47,42206,0.15,20909,0.7,765671,0.82,3670,0.21,76552,0.24
2020-10-14T00:00:00.000,1838682,0.32,1162256,0.52,45149,0.16,23169,0.78,824529,0.89,3956,0.22,89173,0.28
2020-10-15T00:00:00.000,1853753,0.32,1152434,0.51,46250,0.16,22834,0.77,866245,0.93,4069,0.23,90288,0.29
2020-10-16T00:00:00.000,1671320,0.29,974110,0.43,47292,0.16,20776,0.7,820106,0.88,3366,0.19,83798,0.27
2020-10-17T00:00:00.000,1209473,0.36,778070,0.56,37764,0.25,11831,0.67,794520,0.84,1588,0.35,43768,0.39
2020-10-18T00:00:00.000,896812,0.37,583350,0.58,30690,0.29,9998,0.54,752262,0.89,1074,0.28,34682,0.38
2020-10-19T00:00:00.000,1719153,0.3,1105134,0.49,44369,0.15,20812,0.7,782239,0.84,3570,0.2,89186,0.28
2020-10-20T00:00:00.000,1780231,0.31,1119283,0.5,42742,0.15,21936,0.74,790018,0.85,3859,0.22,86591,0.28
2020-10-21T00:00:00.000,1812949,0.32,1140385,0.51,44103,0.15,22959,0.77,806738,0.87,3848,0.22,86210,0.27
2020-10-22T00:00:00.000,1825208,0.32,1140210,0.51,45771,0.16,22391,0.75,845064,0.91,3927,0.22,88686,0.28
2020-10-23T00:00:00.000,1842588,0.32,1123540,0.5,51766,0.18,21766,0.73,881995,0.95,3680,0.21,89931,0.29
2020-10-24T00:00:00.000,1185612,0.36,775122,0.56,38673,0.25,12916,0.73,805454,0.85,,,43618,0.38
2020-10-25T00:00:00.000,885001,0.36,572347,0.57,28321,0.27,10074,0.55,725809,0.86,,,33678,0.37
2020-10-26T00:00:00.000,1690651,0.29,1061566,0.47,43558,0.15,20817,0.7,760604,0.82,3429,0.19,86745,0.28
2020-10-27T00:00:00.000,1815242,0.32,1143906,0.51,43341,0.15,21870,0.73,789371,0.85,3642,0.2,87401,0.28
2020-10-28T00:00:00.000,1819352,0.32,1119450,0.5,43290,0.15,23258,0.78,801966,0.86,3676,0.21,86652,0.28
2020-10-29T00:00:00.000,1705072,0.3,987440,0.44,41158,0.14,20925,0.7,776467,0.84,3539,0.2,81794,0.26
2020-10-30T00:00:00.000,1768018,0.31,1030639,0.46,47968,0.16,21243,0.71,824680,0.89,3270,0.18,84254,0.27
2020-10-31T00:00:00.000,1174059,0.35,747636,0.54,34077,0.22,12816,0.72,743811,0.79,20,0,41538,0.37
2020-11-01T00:00:00.000,786675,0.31,510820,0.51,22602,0.22,10180,0.54,660915,0.8,3,0,29495,0.31
2020-11-02T00:00:00.000,1747908,0.31,1072262,0.49,40609,0.14,21127,0.68,772129,0.82,3535,0.21,87198,0.27
2020-11-03T00:00:00.000,1602912,0.28,1027710,0.47,39749,0.14,20416,0.65,720562,0.76,3184,0.19,82140,0.25
2020-11-04T00:00:00.000,1690489,0.3,1089354,0.5,38818,0.14,22174,0.71,754704,0.8,3448,0.2,81551,0.25
2020-11-05T00:00:00.000,1793796,0.32,1130774,0.52,41550,0.15,22937,0.73,818991,0.87,3793,0.22,86987,0.26
2020-11-06T00:00:00.000,1837314,0.33,1120729,0.51,48139,0.17,22659,0.73,858167,0.91,3546,0.21,89499,0.27
2020-11-07T00:00:00.000,1246321,0.39,752851,0.57,35871,0.24,13409,0.79,790712,0.87,35,0.01,46368,0.4
2020-11-08T00:00:00.000,927670,0.37,587220,0.59,27961,0.27,10474,0.56,726041,0.88,846,0.28,38485,0.41
2020-11-09T00:00:00.000,1752614,0.31,1111203,0.51,42628,0.15,21444,0.69,773217,0.82,3561,0.21,91681,0.28
2020-11-10T00:00:00.000,1836902,0.33,1151911,0.53,43084,0.15,23138,0.74,800965,0.85,3848,0.23,91532,0.28
2020-11-11T00:00:00.000,1614812,0.64,969123,0.97,40074,0.38,20263,0.65,713640,0.87,3050,0.99,83306,0.88
2020-11-12T00:00:00.000,1776666,0.32,1054132,0.48,40382,0.14,22059,0.71,779141,0.83,3546,0.21,86189,0.26
2020-11-13T00:00:00.000,1816693,0.32,1061680,0.48,45127,0.16,22054,0.71,821059,0.87,3332,0.2,86252,0.26
2020-11-14T00:00:00.000,1215477,0.38,755951,0.57,31397,0.21,12928,0.76,735029,0.81,14,0,41422,0.36
2020-11-15T00:00:00.000,820858,0.33,528421,0.53,20946,0.2,9763,0.52,596389,0.72,697,0.23,30948,0.33
2020-11-16T00:00:00.000,1741750,0.31,1079560,0.49,41962,0.15,21851,0.7,757988,0.8,3532,0.21,89463,0.27
2020-11-17T00:00:00.000,1788847,0.32,1092416,0.5,40079,0.14,22524,0.72,764725,0.81,3584,0.21,86965,0.26
2020-11-18T00:00:00.000,1787688,0.32,1065597,0.49,39694,0.14,23390,0.75,776422,0.82,3495,0.21,84069,0.26
2020-11-19T00:00:00.000,1757535,0.31,1056928,0.48,40123,0.14,21780,0.7,800461,0.85,3529,0.21,84662,0.26
2020-11-20T00:00:00.000,1800423,0.32,1079029,0.49,44684,0.16,22945,0.73,843069,0.89,3473,0.2,87402,0.27
2020-11-21T00:00:00.000,1157957,0.37,750801,0.57,27716,0.18,13193,0.78,742369,0.82,19,0.01,39204,0.34
2020-11-22T00:00:00.000,817963,0.32,542124,0.54,20269,0.19,10694,0.57,598349,0.73,92,0.03,31019,0.33
2020-11-23T00:00:00.000,1646525,0.29,1005225,0.46,40669,0.14,21297,0.68,755375,0.8,3223,0.19,87693,0.27
2020-11-24T00:00:00.000,1735702,0.31,1068789,0.49,41773,0.15,22814,0.73,821450,0.87,3405,0.2,89805,0.27
2020-11-25T00:00:00.000,1688227,0.3,1037242,0.47,46210,0.16,21450,0.69,853222,0.9,3166,0.19,93444,0.28
2020-11-26T00:00:00.000,652276,0.26,444391,0.45,20393,0.2,12151,0.39,564193,0.68,847,0.28,72572,0.77
2020-11-27T00:00:00.000,1263473,0.5,815993,0.82,25009,0.24,12395,0.4,671214,0.81,2046,0.67,77273,0.82
2020-11-28T00:00:00.000,1032823,0.33,689580,0.52,24688,0.16,10808,0.64,649087,0.71,1203,0.35,37770,0.33
2020-11-29T00:00:00.000,826974,0.33,548548,0.55,21898,0.21,9360,0.5,631799,0.77,826,0.27,32628,0.35
2020-11-30T00:00:00.000,1459131,0.26,849277,0.39,37027,0.13,19751,0.63,652664,0.69,3035,0.18,80033,0.24
2020-12-01T00:00:00.000,1706348,0.32,1068627,0.53,35226,0.13,21693,0.74,752069,0.85,3432,0.22,73589,0.23
2020-12-02T00:00:00.000,1699968,0.32,1026056,0.51,35615,0.13,22712,0.78,746840,0.84,3277,0.21,73631,0.23
2020-12-03T00:00:00.000,1736045,0.33,1070197,0.53,37014,0.13,22941,0.79,767310,0.87,3325,0.21,75093,0.24
2020-12-04T00:00:00.000,1701628,0.32,1024641,0.51,39229,0.14,21960,0.75,775709,0.88,3121,0.2,72062,0.23
2020-12-05T00:00:00.000,1000240,0.3,617332,0.49,19728,0.13,10151,0.59,572557,0.65,996,0.2,33528,0.26
2020-12-06T00:00:00.000,878393,0.35,547330,0.56,19653,0.18,9904,0.56,590525,0.74,885,0.26,35055,0.33
2020-12-07T00:00:00.000,1656627,0.31,1032813,0.52,36890,0.13,21424,0.73,729674,0.82,3209,0.21,77787,0.25
2020-12-08T00:00:00.000,1540893,0.29,1034410,0.52,36403,0.13,22177,0.76,744112,0.84,3185,0.2,75033,0.24
2020-12-09T00:00:00.000,1701926,0.32,1018247,0.51,35918,0.13,22459,0.77,749886,0.85,3233,0.21,74734,0.24
2020-12-10T00:00:00.000,1761336,0.33,1075970,0.54,37601,0.13,22845,0.78,784406,0.89,3346,0.21,76847,0.24
2020-12-11T00:00:00.000,1786290,0.33,1064457,0.53,42421,0.15,22751,0.78,821871,0.93,3278,0.21,79717,0.25
2020-12-12T00:00:00.000,1091352,0.33,703892,0.55,24119,0.15,12307,0.71,671668,0.76,20,0,41791,0.33
2020-12-13T00:00:00.000,911439,0.36,582389,0.6,22670,0.21,10208,0.57,659446,0.83,80,0.02,39293,0.37
2020-12-14T00:00:00.000,1584089,0.3,955525,0.48,36057,0.13,21333,0.73,723908,0.82,2979,0.19,75008,0.24
2020-12-15T00:00:00.000,1783388,0.33,1088287,0.54,38322,0.14,23432,0.8,819063,0.92,3353,0.21,78446,0.25
2020-12-16T00:00:00.000,1569079,0.29,853797,0.43,33572,0.12,19296,0.66,625006,0.71,2899,0.19,68092,0.22
2020-12-17T00:00:00.000,1079818,0.2,523854,0.26,12527,0.04,9940,0.34,297298,0.34,1613,0.1,21417,0.07
2020-12-18T00:00:00.000,1735664,0.33,943587,0.47,41287,0.15,17537,0.6,736356,0.83,3063,0.2,74908,0.24
2020-12-19T00:00:00.000,1112827,0.34,670787,0.53,24217,0.15,11589,0.67,651814,0.74,25,0.01,41101,0.32
2020-12-20T00:00:00.000,821265,0.32,516593,0.53,18767,0.17,9585,0.54,555254,0.7,736,0.22,32597,0.31
2020-12-21T00:00:00.000,1716035,0.32,1028489,0.51,39814,0.14,21647,0.74,777049,0.88,3244,0.21,81225,0.26
2020-12-22T00:00:00.000,1760948,0.33,1046799,0.52,39579,0.14,22820,0.78,814975,0.92,3254,0.21,82001,0.26
2020-12-23T00:00:00.000,1772537,0.33,1048565,0.52,42100,0.15,23305,0.8,864271,0.98,3201,0.21,84404,0.27
2020-12-24T00:00:00.000,1312480,0.25,822916,0.41,38899,0.14,15928,0.55,760624,0.86,2176,0.14,75759,0.24
2020-12-25T00:00:00.000,485208,0.19,314171,0.32,14435,0.13,8611,0.3,476547,0.6,631,0.19,51348,0.48
2020-12-26T00:00:00.000,879170,0.26,559111,0.44,22076,0.14,9094,0.53,593895,0.67,1014,0.2,36047,0.28
2020-12-27T00:00:00.000,760350,0.3,474033,0.48,20470,0.19,9457,0.53,594862,0.75,901,0.27,34432,0.32
2020-12-28T00:00:00.000,1510168,0.28,922336,0.46,41012,0.15,18820,0.65,743305,0.84,3027,0.19,81566,0.26
2020-12-29T00:00:00.000,1555198,0.29,930711,0.46,39416,0.14,19717,0.68,759864,0.86,3097,0.2,78904,0.25
2020-12-30T00:00:00.000,1582486,0.3,948194,0.47,40962,0.15,20922,0.72,799839,0.9,2990,0.19,79298,0.25
2020-12-31T00:00:00.000,1274984,0.24,792993,0.4,39947,0.14,17167,0.59,704297,0.79,2162,0.14,75157,0.24
2021-01-01T00:00:00.000,613692,0.29,378288,0.41,14988,0.17,5960,0.21,445950,0.65,805,0.29,28977,0.35
2021-01-02T00:00:00.000,988418,0.37,608686,0.51,23140,0.18,10450,0.72,624765,0.82,1194,0.29,28879,0.3
2021-01-03T00:00:00.000,653187,0.31,413820,0.45,15546,0.17,9745,0.72,496494,0.73,728,0.27,20819,0.25
2021-01-04T00:00:00.000,1557977,0.3,964597,0.47,35680,0.13,20612,0.73,688045,0.79,3260,0.2,71078,0.24
2021-01-05T00:00:00.000,1597518,0.31,990479,0.48,35806,0.13,21641,0.76,708610,0.82,3392,0.21,70424,0.23
2021-01-06T00:00:00.000,1613629,0.31,996123,0.49,35857,0.13,22795,0.81,726679,0.84,3260,0.2,70289,0.23
2021-01-07T00:00:00.000,1611099,0.31,989097,0.48,36345,0.14,21571,0.76,736609,0.85,3149,0.19,69695,0.23
2021-01-08T00:00:00.000,1619242,0.31,982175,0.48,39102,0.15,21641,0.76,754548,0.87,3017,0.18,68649,0.23
2021-01-09T00:00:00.000,990412,0.37,643475,0.54,22332,0.17,12023,0.83,630790,0.83,806,0.2,26962,0.28
2021-01-10T00:00:00.000,763097,0.36,501437,0.55,18076,0.2,9467,0.7,564543,0.83,593,0.22,23751,0.29
2021-01-11T00:00:00.000,1568207,0.3,966517,0.47,36016,0.13,21089,0.75,708058,0.81,3123,0.19,72285,0.24
2021-01-12T00:00:00.000,1640428,0.32,997279,0.49,36563,0.14,21623,0.76,730831,0.84,3297,0.2,71403,0.24
2021-01-13T00:00:00.000,1641652,0.32,996646,0.49,36488,0.14,22720,0.8,737859,0.85,3160,0.19,70591,0.23
2021-01-14T00:00:00.000,1647396,0.32,1017757,0.5,37403,0.14,21950,0.78,754071,0.87,3234,0.2,70937,0.23
2021-01-15T00:00:00.000,1627120,0.32,981817,0.48,41025,0.15,21819,0.77,788779,0.91,2978,0.18,70180,0.23
2021-01-16T00:00:00.000,991500,0.37,645625,0.54,22548,0.17,11654,0.8,631135,0.83,1099,0.27,27116,0.28
2021-01-17T00:00:00.000,797654,0.38,504031,0.55,20269,0.22,9880,0.73,580771,0.85,910,0.33,24223,0.29
2021-01-18T00:00:00.000,1276978,0.61,766926,0.84,22337,0.25,14124,0.5,689251,1.01,2141,0.78,68674,0.83
2021-01-19T00:00:00.000,1635915,0.32,1013616,0.5,36885,0.14,21049,0.74,736254,0.85,3328,0.2,72565,0.24
2021-01-20T00:00:00.000,1575075,0.31,921371,0.45,35263,0.13,19281,0.68,712711,0.82,2963,0.18,67925,0.22
2021-01-21T00:00:00.000,1652842,0.32,1007042,0.49,37003,0.14,19925,0.7,760221,0.87,3258,0.2,71225,0.24
2021-01-22T00:00:00.000,1672001,0.33,1018584,0.5,40981,0.15,20375,0.72,787474,0.91,3174,0.19,71317,0.24
2021-01-23T00:00:00.000,997551,0.37,619673,0.52,22216,0.17,10536,0.73,640381,0.84,1114,0.27,27942,0.29
2021-01-24T00:00:00.000,741139,0.35,458203,0.5,17881,0.2,8317,0.62,560522,0.82,821,0.3,23974,0.29
2021-01-25T00:00:00.000,1592468,0.31,978987,0.48,36509,0.14,19991,0.71,727393,0.84,3226,0.2,73131,0.24
2021-01-26T00:00:00.000,1550953,0.3,911579,0.45,34574,0.13,18115,0.64,653068,0.75,2965,0.18,68237,0.23
2021-01-27T00:00:00.000,1660278,0.32,1004792,0.49,35635,0.13,19841,0.7,740154,0.85,3098,0.19,70353,0.23
2021-01-28T00:00:00.000,1646806,0.32,950205,0.46,37015,0.14,20139,0.71,768600,0.88,3208,0.2,70023,0.23
2021-01-29T00:00:00.000,1511680,0.29,812264,0.4,37760,0.14,19047,0.67,780131,0.9,2646,0.16,65128,0.22
2021-01-30T00:00:00.000,942615,0.35,566837,0.47,21229,0.16,10284,0.71,652550,0.85,811,0.2,26642,0.27
2021-01-31T00:00:00.000,722853,0.35,427945,0.47,17531,0.19,8616,0.64,573512,0.84,620,0.23,23091,0.28
2021-02-01T00:00:00.000,583230,0.11,337228,0.16,12093,0.04,12202,0.41,156759,0.18,954,0.06,8611,0.03
2021-02-02T00:00:00.000,1005985,0.19,543073,0.25,22258,0.08,8155,0.28,311607,0.35,1517,0.09,22756,0.08
2021-02-03T00:00:00.000,1702598,0.31,949695,0.44,36347,0.13,16869,0.57,656614,0.74,3057,0.19,69068,0.23
2021-02-04T00:00:00.000,1785833,0.33,1033791,0.48,37591,0.14,20328,0.69,742193,0.84,3381,0.21,71341,0.24
2021-02-05T00:00:00.000,1741015,0.32,1001775,0.47,40322,0.15,20136,0.68,766091,0.87,3115,0.19,68866,0.23
2021-02-06T00:00:00.000,1148477,0.4,715717,0.57,25168,0.19,12020,0.74,689415,0.83,1280,0.3,29248,0.31
2021-02-07T00:00:00.000,652521,0.3,367095,0.38,14068,0.15,7115,0.42,340122,0.45,736,0.26,17110,0.22
2021-02-08T00:00:00.000,1639753,0.3,964007,0.45,36921,0.14,17786,0.6,701146,0.79,3075,0.19,70984,0.23
2021-02-09T00:00:00.000,1666467,0.31,992290,0.46,34582,0.13,19386,0.66,682085,0.77,3123,0.19,69548,0.23
2021-02-10T00:00:00.000,1750121,0.32,1052021,0.49,36581,0.14,22169,0.75,769088,0.87,3284,0.2,71257,0.24
2021-02-11T00:00:00.000,1714656,0.32,1005348,0.47,37230,0.14,20144,0.68,755367,0.86,3148,0.19,70196,0.23
2021-02-12T00:00:00.000,1706430,0.31,965421,0.45,42229,0.16,20165,0.69,803912,0.91,2823,0.17,72130,0.24
2021-02-13T00:00:00.000,1092063,0.38,656637,0.52,25456,0.19,11669,0.72,666722,0.8,1198,0.28,29284,0.31
2021-02-14T00:00:00.000,858014,0.39,479319,0.49,20489,0.22,7835,0.46,551288,0.73,863,0.31,23392,0.3
2021-02-15T00:00:00.000,1218593,0.56,726412,0.74,21792,0.24,11437,0.39,641883,0.85,1764,0.63,65652,0.84
2021-02-16T00:00:00.000,1627528,0.3,963223,0.45,36235,0.13,19126,0.65,726224,0.82,3211,0.2,72718,0.24
2021-02-17T00:00:00.000,1733160,0.32,1061711,0.49,39206,0.15,22336,0.76,821333,0.93,3349,0.21,74219,0.25
2021-02-18T00:00:00.000,1381886,0.25,725951,0.34,31748,0.12,15843,0.54,456327,0.52,2521,0.16,57987,0.19
2021-02-19T00:00:00.000,1566021,0.29,809308,0.38,38308,0.14,14172,0.48,608152,0.69,2707,0.17,64121,0.21
2021-02-20T00:00:00.000,1110589,0.39,679240,0.54,25729,0.2,10578,0.65,657045,0.79,1381,0.32,30920,0.33
2021-02-21T00:00:00.000,836095,0.38,516715,0.53,19844,0.22,9195,0.55,605395,0.8,956,0.34,25208,0.32
2021-02-22T00:00:00.000,1582054,0.29,927414,0.43,35469,0.13,19015,0.65,691608,0.78,3079,0.19,69741,0.23
2021-02-23T00:00:00.000,1730198,0.32,1040398,0.48,37506,0.14,20852,0.71,759850,0.86,3406,0.21,73492,0.24
2021-02-24T00:00:00.000,1806306,0.33,1099351,0.51,39125,0.15,23223,0.79,797488,0.9,3546,0.22,74777,0.25
2021-02-25T00:00:00.000,1798165,0.33,1069420,0.5,39398,0.15,22138,0.75,814611,0.92,3543,0.22,75030,0.25
2021-02-26T00:00:00.000,1822812,0.34,1065376,0.5,44411,0.16,21911,0.74,851052,0.96,3359,0.21,76696,0.25
2021-02-27T00:00:00.000,1072932,0.37,635820,0.5,24256,0.19,11319,0.7,681969,0.82,1324,0.31,28849,0.31
2021-02-28T00:00:00.000,810071,0.37,491545,0.5,20086,0.22,8910,0.53,619960,0.82,972,0.35,23778,0.3
2021-03-01T00:00:00.000,1696274,0.3,1020837,0.46,36339,0.13,20359,0.68,747909,0.81,3333,0.21,74430,0.24
2021-03-02T00:00:00.000,1749511,0.31,1024511,0.46,36611,0.13,20640,0.69,763489,0.83,3472,0.22,75335,0.24
2021-03-03T00:00:00.000,1846431,0.33,1119137,0.5,39652,0.14,22823,0.77,798577,0.87,3569,0.22,78770,0.25
2021-03-04T00:00:00.000,1808744,0.32,1078036,0.48,39731,0.14,21727,0.73,807284,0.88,3456,0.22,78642,0.25
2021-03-05T00:00:00.000,1825915,0.33,1041408,0.46,45027,0.16,21842,0.73,846071,0.92,3270,0.2,79104,0.25
2021-03-06T00:00:00.000,1167884,0.38,696719,0.52,27277,0.2,11951,0.71,728236,0.84,3,0,37158,0.34
2021-03-07T00:00:00.000,894119,0.39,525930,0.53,21548,0.23,9843,0.56,662461,0.82,58,0.02,29306,0.34
2021-03-08T00:00:00.000,1719586,0.31,1039763,0.46,39764,0.14,20685,0.7,767707,0.83,3344,0.21,79355,0.25
2021-03-09T00:00:00.000,1834068,0.33,1101988,0.49,40944,0.15,22200,0.75,791512,0.86,3602,0.23,79269,0.25
2021-03-10T00:00:00.000,1849077,0.33,1104610,0.49,41489,0.15,22774,0.77,804700,0.87,3625,0.23,78069,0.25
2021-03-11T00:00:00.000,1881902,0.34,1107502,0.49,42543,0.15,22617,0.76,836773,0.91,3682,0.23,80398,0.26
2021-03-12T00:00:00.000,1914465,0.34,1092388,0.49,48553,0.18,21724,0.73,873014,0.95,3507,0.22,82399,0.26
2021-03-13T00:00:00.000,1257372,0.41,730218,0.55,31500,0.23,11932,0.7,776744,0.89,,,38465,0.36
2021-03-14T00:00:00.000,923968,0.4,531754,0.53,22348,0.24,9732,0.55,673170,0.83,,,30405,0.35
2021-03-15T00:00:00.000,1730024,0.31,1023990,0.46,39529,0.14,19986,0.67,774146,0.84,3264,0.2,79331,0.25
2021-03-16T00:00:00.000,1798288,0.32,1062179,0.47,40038,0.15,20903,0.7,786996,0.85,3394,0.21,77672,0.25
2021-03-17T00:00:00.000,1866414,0.34,1103979,0.49,41682,0.15,22323,0.75,808876,0.88,3465,0.22,81431,0.26
2021-03-18T00:00:00.000,1771092,0.32,1019472,0.45,39884,0.14,20264,0.68,799478,0.87,3283,0.21,76532,0.24
2021-03-19T00:00:00.000,1906749,0.34,1083647,0.48,46605,0.17,20357,0.68,863187,0.94,3331,0.21,80041,0.26
2021-03-20T00:00:00.000,1307403,0.43,768908,0.58,33068,0.24,12558,0.74,787777,0.9,,,41743,0.39
2021-03-21T00:00:00.000,1013386,0.44,579358,0.58,26380,0.28,10358,0.59,735673,0.91,,,34693,0.4
2021-03-22T00:00:00.000,1801438,0.32,1095241,0.49,43281,0.16,20427,0.69,788542,0.86,3646,0.23,84171,0.27
2021-03-23T00:00:00.000,1879574,0.34,1133504,0.51,41654,0.15,21590,0.73,810243,0.88,3727,0.23,83106,0.27
2021-03-24T00:00:00.000,1828084,0.33,1075968,0.48,40301,0.15,21651,0.73,794315,0.86,3578,0.22,79590,0.25
2021-03-25T00:00:00.000,1925768,0.35,1127964,0.5,44105,0.16,21763,0.73,847633,0.92,3747,0.23,83556,0.27
2021-03-26T00:00:00.000,1938246,0.35,1091753,0.49,49529,0.18,20805,0.7,865970,0.94,3536,0.22,84436,0.27
2021-03-27T00:00:00.000,1374266,0.45,781981,0.59,38301,0.28,12900,0.76,841595,0.97,,,47484,0.44
2021-03-28T00:00:00.000,807247,0.35,459949,0.46,21000,0.22,9104,0.52,601860,0.75,,,28347,0.33
2021-03-29T00:00:00.000,1742162,0.31,1002597,0.45,44240,0.16,18543,0.62,763647,0.83,3378,0.21,86467,0.28
2021-03-30T00:00:00.000,1881537,0.34,1079381,0.48,46574,0.17,21019,0.71,842154,0.91,3806,0.24,91258,0.29
2021-03-31T00:00:00.000,1808546,0.32,995873,0.44,43954,0.16,20374,0.69,833052,0.9,3526,0.22,84850,0.27
2021-04-01T00:00:00.000,1841815,0.33,1030209,0.47,38466,0.13,20490,0.71,856466,0.91,3434,0.21,77285,0.25
2021-04-02T00:00:00.000,1757698,0.32,958085,0.44,49309,0.17,18839,0.65,845252,0.9,3070,0.19,79770,0.26
2021-04-03T00:00:00.000,1318461,0.42,750682,0.56,37706,0.25,12735,0.76,779701,0.85,1503,0.29,47662,0.42
2021-04-04T00:00:00.000,950194,0.39,519812,0.52,30673,0.3,11632,0.62,749910,0.87,1066,0.33,40868,0.45
2021-04-05T00:00:00.000,1818703,0.33,1088750,0.5,46156,0.16,19970,0.69,832239,0.88,3431,0.21,87048,0.28
2021-04-06T00:00:00.000,1942198,0.35,1155101,0.53,45178,0.16,21695,0.75,840351,0.89,3873,0.24,85757,0.28
2021-04-07T00:00:00.000,1985370,0.36,1172362,0.54,45747,0.16,23469,0.81,858593,0.91,3809,0.23,85479,0.28
2021-04-08T00:00:00.000,2013413,0.36,1177833,0.54,47059,0.16,22579,0.78,877834,0.93,3893,0.24,86715,0.28
2021-04-09T00:00:00.000,2026724,0.36,1144311,0.52,52445,0.18,21978,0.76,895229,0.95,3686,0.23,87051,0.28
2021-04-10T00:00:00.000,1391245,0.44,790023,0.59,36629,0.25,12713,0.76,822112,0.9,1500,0.29,45962,0.4
2021-04-11T00:00:00.000,899646,0.37,504407,0.51,22933,0.22,9742,0.52,666435,0.77,1020,0.31,32034,0.35
2021-04-12T00:00:00.000,1845836,0.33,1087799,0.5,43563,0.15,21192,0.73,793402,0.84,3418,0.21,83124,0.27
2021-04-13T00:00:00.000,2012153,0.36,1196355,0.55,46150,0.16,22728,0.79,832482,0.88,3877,0.24,87182,0.28
2021-04-14T00:00:00.000,2018126,0.36,1199954,0.55,47970,0.17,23462,0.81,852606,0.91,3810,0.23,86698,0.28
2021-04-15T00:00:00.000,1906733,0.34,1083083,0.5,44175,0.15,21198,0.73,822207,0.87,3593,0.22,81762,0.26
2021-04-16T00:00:00.000,2078856,0.37,1157507,0.53,54355,0.19,21632,0.75,889711,0.95,3591,0.22,87190,0.28
2021-04-17T00:00:00.000,1425036,0.45,803352,0.6,39789,0.27,13313,0.8,813162,0.89,,,49901,0.44
2021-04-18T00:00:00.000,1082503,0.45,607333,0.61,30983,0.3,10865,0.58,753446,0.87,,,38263,0.42
2021-04-19T00:00:00.000,1911326,0.34,1147977,0.53,45925,0.16,21274,0.74,816540,0.87,3634,0.22,87167,0.28
2021-04-20T00:00:00.000,2082495,0.37,1223642,0.56,49100,0.17,23528,0.81,860511,0.91,4135,0.25,90034,0.29
2021-04-21T00:00:00.000,1965922,0.35,1139762,0.52,45253,0.16,22379,0.77,828447,0.88,3788,0.23,83533,0.27
2021-04-22T00:00:00.000,2040232,0.37,1166357,0.53,46790,0.16,21832,0.75,871573,0.93,3837,0.24,86606,0.28
2021-04-23T00:00:00.000,2121350,0.38,1184193,0.54,56155,0.2,22035,0.76,920588,0.98,3737,0.23,92834,0.3
2021-04-24T00:00:00.000,1520057,0.48,809163,0.61,43227,0.29,13351,0.8,854964,0.94,,,51570,0.45
2021-04-25T00:00:00.000,985027,0.41,540989,0.55,23855,0.23,9777,0.52,695863,0.8,,,34054,0.37
2021-04-26T00:00:00.000,1955370,0.35,1156913,0.53,46752,0.16,21083,0.73,826605,0.88,3761,0.23,89303,0.29
